,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
321,guilhermariae,guilherme de Maria,2983214543,1240065375284363265,/guilhermariae/status/1240065375284363265,2020-03-17 23:59:59,1584489599,só de falar em coronavírus eu começo a tossir kkkkk incrível como a nossa mente tem a capacidade de somatizar os sintomas,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">só de falar em <strong>coronavírus</strong> eu começo a tossir kkkkk incrível como a nossa mente tem a capacidade de somatizar os sintomas</p>",[],[],False,[],,190,26,2,True,False,,[]
322,Fabr1cia,Fabricia,933515657861369857,1240065375091523585,/Fabr1cia/status/1240065375091523585,2020-03-17 23:59:59,1584489599,"Eu não aguento mais meu pai atribuindo o coronavírus a ""desobediência a deus""","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Eu não aguento mais meu pai atribuindo o <strong>coronavírus</strong> a ""desobediência a deus""</p>",[],[],False,[],,2,0,0,False,False,,[]
323,Cat_Ho,Catherine Ho,323478636,1240065374734798848,/Cat_Ho/status/1240065374734798848,2020-03-17 23:59:59,1584489599,I’ll be on @KQEDnews at 5:35pm to talk about how hospitals are scrambling to add ventilators and ICU beds for the surge of coronavirus patients likely to need treatment in the coming weeks https://twitter.com/SilerTara/status/1240054450837843968 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">I’ll be on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14885540"" dir=""ltr"" href=""/KQEDnews""><s>@</s><b>KQEDnews</b></a> at 5:35pm to talk about how hospitals are scrambling to add ventilators and ICU beds for the surge of <strong>coronavirus</strong> patients likely to need treatment in the coming weeks <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/SilerTara/status/1240054450837843968"" dir=""ltr"" href=""https://t.co/Nkh89f3xJV"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/SilerTara/status/1240054450837843968""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/SilerTara/stat</span><span class=""invisible"">us/1240054450837843968</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/SilerTara/status/1240054450837843968'],[],False,[],,13,2,0,False,False,,[]
324,thomaskaine5,Thomas Kaine,860654500431880192,1240065374449799168,/thomaskaine5/status/1240065374449799168,2020-03-17 23:59:59,1584489599,Mnuchin suggests coronavirus shutdown could drive unemployment as high as 20 percent - https://www.rawstory.com/2020/03/mnuchin-suggests-coronavirus-shutdown-could-drive-unemployment-as-high-as-20-percent/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Mnuchin suggests <strong>coronavirus</strong> shutdown could drive unemployment as high as 20 percent - <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.rawstory.com/2020/03/mnuchin-suggests-coronavirus-shutdown-could-drive-unemployment-as-high-as-20-percent/"" dir=""ltr"" href=""https://t.co/5GGgdJJFNM"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.rawstory.com/2020/03/mnuchin-suggests-coronavirus-shutdown-could-drive-unemployment-as-high-as-20-percent/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">rawstory.com/2020/03/mnuchi</span><span class=""invisible"">n-suggests-coronavirus-shutdown-could-drive-unemployment-as-high-as-20-percent/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.rawstory.com/2020/03/mnuchin-suggests-coronavirus-shutdown-could-drive-unemployment-as-high-as-20-percent/'],[],False,[],,10,5,2,True,False,,[]
325,ArunModerate,Conservative Moderate,3675685221,1240065374059671552,/ArunModerate/status/1240065374059671552,2020-03-17 23:59:59,1584489599,Fake News. Sometime I hope Corona Virus sideline you guys for a couple of weeks. That will do so much good for the country. Shame on you,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Fake News. Sometime I hope <strong>Corona Virus</strong> sideline you guys for a couple of weeks. That will do so much good for the country. Shame on you</p>",[],[],False,[],,0,0,0,False,True,1239603785275670529,"[{'screen_name': 'MaraGay', 'user_id': '38428725'}]"
326,EveryBrokenWave,Matthew (Matkin),52910879,1240065373682180096,/EveryBrokenWave/status/1240065373682180096,2020-03-17 23:59:59,1584489599,My respect for @chaptersindigo just shot through the roof #COVID19 #coronavirus #stayhomechallenge,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My respect for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7130402"" dir=""ltr"" href=""/chaptersindigo""><s>@</s><b>chaptersindigo</b></a> just shot through the roof <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19?src=hash""><s>#</s><b>COVID19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/stayhomechallenge?src=hash""><s>#</s><b>stayhomechallenge</b></a><a dir=""ltr"" href=""/hashtag/stayhomechallenge?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/StayHome_2020_add9/StayHome_2020_add9.png""/></a></span></p>",[],"['COVID19', 'coronavirus', 'stayhomechallenge']",False,[],,1,0,0,False,False,,[]
327,JustNovel,JustInNovel ❤️🦊🇺🇸👮‍♂️👮‍♀️🪖,1156742092032528384,1240065373313122305,/JustNovel/status/1240065373313122305,2020-03-17 23:59:58,1584489598,Critical services are starting to be disrupted by the #coronavirus #Covid_19 #COVIDー19https://twitter.com/BreakingNews/status/1240043441393893376 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Critical services are starting to be disrupted by the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Covid_19?src=hash""><s>#</s><b>Covid_19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID%E3%83%BC19?src=hash""><s>#</s><b>COVIDー19</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/BreakingNews/status/1240043441393893376"" dir=""ltr"" href=""https://t.co/SJESccqzwx"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/BreakingNews/status/1240043441393893376""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/BreakingNews/s</span><span class=""invisible"">tatus/1240043441393893376</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/BreakingNews/status/1240043441393893376'],"['coronavirus', 'Covid_19', 'COVIDー19https']",False,[],,0,0,0,False,False,,[]
328,suhighness,just wash your hands,1899245762,1244414030539657223,/suhighness/status/1244414030539657223,2020-03-29 23:59:59,1585526399,Can I talk about the coronavirus in my personal statement?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Can I talk about the <strong>coronavirus</strong> in my personal statement?</p>",[],[],False,[],,5,1,0,False,False,,[]
329,MeL8tleigh,MeL8tLeigh 🌞🌴🌺,938881148792348672,1244414030418067456,/MeL8tleigh/status/1244414030418067456,2020-03-29 23:59:59,1585526399, Is there a way to revoke someone’s Twitter account? A petition? Report his account as a danger and menace to society? (Malaria med deaths - case in point.) #TrumpVirus #coronavirus #Covid_19 #EveryLifeIsPrecious #100000No https://twitter.com/ryanstruyk/status/1244390451957948416 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><img alt=""🤦🏻‍♀️"" aria-label=""Emoji: Woman facepalming (light skin tone)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f926-1f3fb-200d-2640-fe0f.png"" title=""Woman facepalming (light skin tone)""/> Is there a way to revoke someone’s Twitter account? A petition? Report his account as a danger and menace to society? (Malaria med deaths - case in point.) <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TrumpVirus?src=hash""><s>#</s><b>TrumpVirus</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Covid_19?src=hash""><s>#</s><b>Covid_19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EveryLifeIsPrecious?src=hash""><s>#</s><b>EveryLifeIsPrecious</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/100000No?src=hash""><s>#</s><b>100000No</b></a> <img alt=""🌺"" aria-label=""Emoji: Hibiscus"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f33a.png"" title=""Hibiscus""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ryanstruyk/status/1244390451957948416"" dir=""ltr"" href=""https://t.co/tyn7lKgT0a"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ryanstruyk/status/1244390451957948416""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ryanstruyk/sta</span><span class=""invisible"">tus/1244390451957948416</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/ryanstruyk/status/1244390451957948416'],"['TrumpVirus', 'coronavirus', 'Covid_19', 'EveryLifeIsPrecious', '100000No']",False,[],,0,0,0,False,False,,[]
330,npquarterly,Nonprofit Quarterly,61206610,1244414029864603657,/npquarterly/status/1244414029864603657,2020-03-29 23:59:59,1585526399,"Will the #coronavirus pandemic of 2020 come to be seen as a momentary interruption, or will it compel us to rethink how we organize our society and economy? Only time will tell, but we must act wisely! #COVID19https://bit.ly/2vSTjK3 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Will the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> pandemic of 2020 come to be seen as a momentary interruption, or will it compel us to rethink how we organize our society and economy? Only time will tell, but we must act wisely! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19?src=hash""><s>#</s><b>COVID19</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://bit.ly/2vSTjK3"" dir=""ltr"" href=""https://t.co/ZYqOsLHWZF"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/2vSTjK3""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2vSTjK3</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://bit.ly/2vSTjK3'],"['coronavirus', 'COVID19https']",False,[],,1,2,0,False,False,,[]
